location_id,country,state,district,block,area_type,area_name,latitude,longitude,population
1,India,Uttar Pradesh,Prayagraj,Block-2,Ward,Prayagraj-Area-1,11.0059,84.831,4812
2,India,Uttar Pradesh,Prayagraj,Block-3,Village,Prayagraj-Area-2,11.7675,72.0499,9735
3,India,Uttar Pradesh,Prayagraj,Block-4,Village,Prayagraj-Area-3,23.9433,70.6357,2335
4,India,Uttar Pradesh,Prayagraj,Block-5,Village,Prayagraj-Area-4,14.2818,82.0404,9995
5,India,Uttar Pradesh,Prayagraj,Block-1,Village,Prayagraj-Area-5,27.3325,84.0265,7673
6,India,Uttar Pradesh,Prayagraj,Block-2,Village,Prayagraj-Area-6,20.1286,75.5638,906
7,India,Uttar Pradesh,Prayagraj,Block-3,Village,Prayagraj-Area-7,26.8498,76.805,3347
8,India,Uttar Pradesh,Prayagraj,Block-4,Village,Prayagraj-Area-8,33.8448,76.7319,2319
9,India,Uttar Pradesh,Prayagraj,Block-5,Town,Prayagraj-Area-9,10.6113,86.9499,10691
10,India,Uttar Pradesh,Prayagraj,Block-1,Town,Prayagraj-Area-10,29.7925,84.5946,9585
11,India,Uttar Pradesh,Prayagraj,Block-2,Village,Prayagraj-Area-11,34.2741,77.5707,9844
12,India,Uttar Pradesh,Prayagraj,Block-3,Town,Prayagraj-Area-12,30.3939,82.3704,6725
13,India,Uttar Pradesh,Prayagraj,Block-4,Ward,Prayagraj-Area-13,13.1918,71.3911,11634
14,India,Uttar Pradesh,Prayagraj,Block-5,Village,Prayagraj-Area-14,28.8728,89.7044,4614
15,India,Uttar Pradesh,Varanasi,Block-2,Village,Varanasi-Area-1,18.2634,79.0682,6777
16,India,Uttar Pradesh,Varanasi,Block-3,Village,Varanasi-Area-2,17.9949,74.1901,5174
17,India,Uttar Pradesh,Varanasi,Block-4,Ward,Varanasi-Area-3,33.2897,82.9607,10780
18,India,Uttar Pradesh,Varanasi,Block-5,Ward,Varanasi-Area-4,12.6207,84.5825,3477
19,India,Uttar Pradesh,Varanasi,Block-1,Town,Varanasi-Area-5,18.2453,89.7905,11285
20,India,Uttar Pradesh,Varanasi,Block-2,Ward,Varanasi-Area-6,23.0376,83.6923,1716
21,India,Uttar Pradesh,Varanasi,Block-3,Village,Varanasi-Area-7,30.1887,86.1009,7372
22,India,Uttar Pradesh,Varanasi,Block-4,Town,Varanasi-Area-8,9.7871,88.2627,10092
23,India,Uttar Pradesh,Varanasi,Block-5,Ward,Varanasi-Area-9,16.4963,83.1088,7282
24,India,Uttar Pradesh,Varanasi,Block-1,Ward,Varanasi-Area-10,20.389,75.2976,4840
25,India,Uttar Pradesh,Varanasi,Block-2,Ward,Varanasi-Area-11,23.1569,75.2548,10377
26,India,Uttar Pradesh,Varanasi,Block-3,Town,Varanasi-Area-12,32.2412,77.988,4393
27,India,Uttar Pradesh,Varanasi,Block-4,Village,Varanasi-Area-13,21.7572,71.8182,1571
28,India,Uttar Pradesh,Varanasi,Block-5,Village,Varanasi-Area-14,12.1267,73.1996,11949
29,India,Uttar Pradesh,Lucknow,Block-2,Town,Lucknow-Area-1,24.103,77.6953,10563
30,India,Uttar Pradesh,Lucknow,Block-3,Town,Lucknow-Area-2,22.2861,89.4216,988
31,India,Uttar Pradesh,Lucknow,Block-4,Ward,Lucknow-Area-3,27.4595,83.6342,9597
32,India,Uttar Pradesh,Lucknow,Block-5,Town,Lucknow-Area-4,28.7522,76.8035,5608
