location_id,scheme_name,eligible_population,reporting_period
1,Child Vaccination,2563,2025-Q4
1,TB Screening,1925,2025-Q4
1,Diabetes Screening,1915,2025-Q4
2,Child Vaccination,2668,2025-Q4
2,TB Screening,2550,2025-Q4
2,Diabetes Screening,3695,2025-Q4
3,Child Vaccination,809,2025-Q4
3,TB Screening,759,2025-Q4
3,Diabetes Screening,647,2025-Q4
4,Child Vaccination,5383,2025-Q4
4,TB Screening,5005,2025-Q4
4,Diabetes Screening,4223,2025-Q4
5,Child Vaccination,4106,2025-Q4
5,TB Screening,4219,2025-Q4
5,Diabetes Screening,3465,2025-Q4
6,Child Vaccination,299,2025-Q4
6,TB Screening,237,2025-Q4
6,Diabetes Screening,432,2025-Q4
7,Child Vaccination,1309,2025-Q4
7,TB Screening,1490,2025-Q4
7,Diabetes Screening,1756,2025-Q4
8,Child Vaccination,706,2025-Q4
8,TB Screening,986,2025-Q4
8,Diabetes Screening,1021,2025-Q4
9,Child Vaccination,4249,2025-Q4
9,TB Screening,2965,2025-Q4
9,Diabetes Screening,3788,2025-Q4
10,Child Vaccination,3354,2025-Q4
10,TB Screening,4323,2025-Q4
10,Diabetes Screening,4862,2025-Q4
11,Child Vaccination,3434,2025-Q4
11,TB Screening,4509,2025-Q4
11,Diabetes Screening,3312,2025-Q4
12,Child Vaccination,3588,2025-Q4
12,TB Screening,3322,2025-Q4
12,Diabetes Screening,2791,2025-Q4
13,Child Vaccination,4495,2025-Q4
13,TB Screening,4006,2025-Q4
13,Diabetes Screening,4036,2025-Q4
14,Child Vaccination,2496,2025-Q4
14,TB Screening,1712,2025-Q4
14,Diabetes Screening,1865,2025-Q4
15,Child Vaccination,3703,2025-Q4
15,TB Screening,3031,2025-Q4
15,Diabetes Screening,2797,2025-Q4
16,Child Vaccination,1934,2025-Q4
16,TB Screening,1584,2025-Q4
16,Diabetes Screening,1855,2025-Q4
17,Child Vaccination,5141,2025-Q4
17,TB Screening,4717,2025-Q4
17,Diabetes Screening,5152,2025-Q4
18,Child Vaccination,1081,2025-Q4
18,TB Screening,1442,2025-Q4
18,Diabetes Screening,1836,2025-Q4
19,Child Vaccination,4304,2025-Q4
19,TB Screening,5185,2025-Q4
19,Diabetes Screening,3232,2025-Q4
20,Child Vaccination,929,2025-Q4
20,TB Screening,742,2025-Q4
20,Diabetes Screening,552,2025-Q4
21,Child Vaccination,2193,2025-Q4
21,TB Screening,3061,2025-Q4
21,Diabetes Screening,3064,2025-Q4
22,Child Vaccination,2805,2025-Q4
22,TB Screening,5527,2025-Q4
22,Diabetes Screening,5286,2025-Q4
23,Child Vaccination,2828,2025-Q4
23,TB Screening,2077,2025-Q4
23,Diabetes Screening,3638,2025-Q4
24,Child Vaccination,1933,2025-Q4
