location_id,scheme_name,received_population,last_updated
1,Child Vaccination,2165,2026-01-05
1,TB Screening,1266,2026-01-05
1,Diabetes Screening,1645,2026-01-05
2,Child Vaccination,1606,2026-01-05
2,TB Screening,2348,2026-01-05
2,Diabetes Screening,3478,2026-01-05
3,Child Vaccination,529,2026-01-05
3,TB Screening,421,2026-01-05
3,Diabetes Screening,394,2026-01-05
4,Child Vaccination,3714,2026-01-05
4,TB Screening,4661,2026-01-05
4,Diabetes Screening,3586,2026-01-05
5,Child Vaccination,3451,2026-01-05
5,TB Screening,2008,2026-01-05
5,Diabetes Screening,1862,2026-01-05
6,Child Vaccination,225,2026-01-05
6,TB Screening,208,2026-01-05
6,Diabetes Screening,304,2026-01-05
7,Child Vaccination,597,2026-01-05
7,TB Screening,1289,2026-01-05
7,Diabetes Screening,1524,2026-01-05
8,Child Vaccination,393,2026-01-05
8,TB Screening,808,2026-01-05
8,Diabetes Screening,561,2026-01-05
9,Child Vaccination,3815,2026-01-05
9,TB Screening,1426,2026-01-05
9,Diabetes Screening,2426,2026-01-05
10,Child Vaccination,3087,2026-01-05
10,TB Screening,2257,2026-01-05
10,Diabetes Screening,3151,2026-01-05
11,Child Vaccination,2033,2026-01-05
11,TB Screening,1869,2026-01-05
11,Diabetes Screening,1421,2026-01-05
12,Child Vaccination,2425,2026-01-05
12,TB Screening,1759,2026-01-05
12,Diabetes Screening,2643,2026-01-05
13,Child Vaccination,2724,2026-01-05
13,TB Screening,1664,2026-01-05
13,Diabetes Screening,3680,2026-01-05
14,Child Vaccination,2150,2026-01-05
14,TB Screening,1296,2026-01-05
14,Diabetes Screening,1557,2026-01-05
15,Child Vaccination,1761,2026-01-05
15,TB Screening,1690,2026-01-05
15,Diabetes Screening,2395,2026-01-05
16,Child Vaccination,1514,2026-01-05
16,TB Screening,754,2026-01-05
16,Diabetes Screening,1461,2026-01-05
17,Child Vaccination,3324,2026-01-05
17,TB Screening,1900,2026-01-05
17,Diabetes Screening,2285,2026-01-05
18,Child Vaccination,584,2026-01-05
18,TB Screening,1239,2026-01-05
18,Diabetes Screening,1288,2026-01-05
19,Child Vaccination,3443,2026-01-05
19,TB Screening,3579,2026-01-05
19,Diabetes Screening,1490,2026-01-05
20,Child Vaccination,518,2026-01-05
20,TB Screening,419,2026-01-05
20,Diabetes Screening,235,2026-01-05
21,Child Vaccination,1383,2026-01-05
21,TB Screening,2560,2026-01-05
21,Diabetes Screening,1995,2026-01-05
22,Child Vaccination,1293,2026-01-05
22,TB Screening,4962,2026-01-05
22,Diabetes Screening,3849,2026-01-05
23,Child Vaccination,1156,2026-01-05
