location_id,scheme_name,coverage_percent,missed_population,risk_level
1,Child Vaccination,84.47,398,Low
1,TB Screening,65.77,659,Medium
1,Diabetes Screening,85.9,270,Low
2,Child Vaccination,60.19,1062,Medium
2,TB Screening,92.08,202,Low
2,Diabetes Screening,94.13,217,Low
3,Child Vaccination,65.39,280,Medium
3,TB Screening,55.47,338,High
3,Diabetes Screening,60.9,253,Medium
4,Child Vaccination,68.99,1669,Medium
4,TB Screening,93.13,344,Low
4,Diabetes Screening,84.92,637,Low
5,Child Vaccination,84.05,655,Low
5,TB Screening,47.59,2211,High
5,Diabetes Screening,53.74,1603,High
6,Child Vaccination,75.25,74,Low
6,TB Screening,87.76,29,Low
6,Diabetes Screening,70.37,128,Medium
7,Child Vaccination,45.61,712,High
7,TB Screening,86.51,201,Low
7,Diabetes Screening,86.79,232,Low
8,Child Vaccination,55.67,313,High
8,TB Screening,81.95,178,Low
8,Diabetes Screening,54.95,460,High
9,Child Vaccination,89.79,434,Low
9,TB Screening,48.09,1539,High
9,Diabetes Screening,64.04,1362,Medium
10,Child Vaccination,92.04,267,Low
10,TB Screening,52.21,2066,High
10,Diabetes Screening,64.81,1711,Medium
11,Child Vaccination,59.2,1401,High
11,TB Screening,41.45,2640,Critical
11,Diabetes Screening,42.9,1891,Critical
12,Child Vaccination,67.59,1163,Medium
12,TB Screening,52.95,1563,High
12,Diabetes Screening,94.7,148,Low
13,Child Vaccination,60.6,1771,Medium
13,TB Screening,41.54,2342,Critical
13,Diabetes Screening,91.18,356,Low
14,Child Vaccination,86.14,346,Low
14,TB Screening,75.7,416,Low
14,Diabetes Screening,83.49,308,Low
15,Child Vaccination,47.56,1942,High
15,TB Screening,55.76,1341,High
15,Diabetes Screening,85.63,402,Low
16,Child Vaccination,78.28,420,Low
16,TB Screening,47.6,830,High
16,Diabetes Screening,78.76,394,Low
17,Child Vaccination,64.66,1817,Medium
17,TB Screening,40.28,2817,Critical
17,Diabetes Screening,44.35,2867,Critical
18,Child Vaccination,54.02,497,High
18,TB Screening,85.92,203,Low
18,Diabetes Screening,70.15,548,Medium
19,Child Vaccination,80.0,861,Low
19,TB Screening,69.03,1606,Medium
19,Diabetes Screening,46.1,1742,High
20,Child Vaccination,55.76,411,High
20,TB Screening,56.47,323,High
20,Diabetes Screening,42.57,317,Critical
21,Child Vaccination,63.06,810,Medium
21,TB Screening,83.63,501,Low
21,Diabetes Screening,65.11,1069,Medium
22,Child Vaccination,46.1,1512,High
22,TB Screening,89.78,565,Low
22,Diabetes Screening,72.81,1437,Medium
