alert_id,location_id,alert_level,sent_to_role,sent_to_name,sent_time,status
1,186,State,State Health Officer,Officer-43,2026-01-03 12:09,Sent
2,62,State,State Health Officer,Officer-7,2026-01-02 13:09,Sent
3,115,Area,ASHA Worker,Officer-46,2026-01-05 11:09,Sent
4,190,State,District Health Officer,Officer-29,2026-01-04 12:09,Sent
5,194,State,State Health Officer,Officer-33,2026-01-04 04:09,Sent
6,209,Area,ASHA Worker,Officer-21,2026-01-02 16:09,Delivered
7,61,District,State Health Officer,Officer-43,2026-01-02 23:09,Sent
8,106,District,District Health Officer,Officer-4,2026-01-02 18:09,Sent
9,161,Area,District Health Officer,Officer-36,2026-01-03 02:09,Sent
10,89,Area,ASHA Worker,Officer-25,2026-01-02 22:09,Delivered
11,179,District,District Health Officer,Officer-10,2026-01-04 03:09,Delivered
12,48,Area,District Health Officer,Officer-16,2026-01-04 13:09,Delivered
13,182,State,District Health Officer,Officer-4,2026-01-02 18:09,Delivered
14,107,Area,ASHA Worker,Officer-9,2026-01-03 16:09,Sent
15,66,State,District Health Officer,Officer-42,2026-01-05 07:09,Delivered
16,95,State,ASHA Worker,Officer-47,2026-01-04 17:09,Sent
17,69,District,ASHA Worker,Officer-39,2026-01-02 12:09,Sent
18,19,State,ASHA Worker,Officer-47,2026-01-02 04:09,Sent
19,123,State,District Health Officer,Officer-20,2026-01-05 16:09,Sent
20,49,Area,State Health Officer,Officer-48,2026-01-03 04:09,Sent
21,179,Area,ASHA Worker,Officer-14,2026-01-03 15:09,Sent
22,142,District,District Health Officer,Officer-25,2026-01-03 06:09,Delivered
23,79,District,District Health Officer,Officer-33,2026-01-03 02:09,Delivered
24,26,Area,District Health Officer,Officer-49,2026-01-04 01:09,Sent
25,95,District,District Health Officer,Officer-3,2026-01-02 17:09,Sent
26,190,State,State Health Officer,Officer-17,2026-01-02 19:09,Delivered
27,76,State,State Health Officer,Officer-22,2026-01-04 12:09,Delivered
28,146,State,District Health Officer,Officer-36,2026-01-02 06:09,Delivered
29,66,District,ASHA Worker,Officer-42,2026-01-01 19:09,Delivered
30,118,State,ASHA Worker,Officer-23,2026-01-04 20:09,Sent
31,185,Area,District Health Officer,Officer-12,2026-01-02 20:09,Sent
32,135,State,State Health Officer,Officer-43,2026-01-05 11:09,Sent
