location_id,scheme_name,month,coverage_percent
1,Child Vaccination,2026-01,48
1,Child Vaccination,2025-12,50
1,Child Vaccination,2025-11,54
1,Child Vaccination,2025-10,51
1,Child Vaccination,2025-09,52
1,Child Vaccination,2025-08,49
1,TB Screening,2026-01,57
1,TB Screening,2025-12,62
1,TB Screening,2025-11,51
1,TB Screening,2025-10,63
1,TB Screening,2025-09,49
1,TB Screening,2025-08,68
1,Diabetes Screening,2026-01,66
1,Diabetes Screening,2025-12,67
1,Diabetes Screening,2025-11,50
1,Diabetes Screening,2025-10,63
1,Diabetes Screening,2025-09,54
1,Diabetes Screening,2025-08,64
2,Child Vaccination,2026-01,45
2,Child Vaccination,2025-12,49
2,Child Vaccination,2025-11,42
2,Child Vaccination,2025-10,46
2,Child Vaccination,2025-09,34
2,Child Vaccination,2025-08,37
2,TB Screening,2026-01,40
2,TB Screening,2025-12,44
2,TB Screening,2025-11,47
2,TB Screening,2025-10,52
2,TB Screening,2025-09,48
2,TB Screening,2025-08,38
2,Diabetes Screening,2026-01,45
2,Diabetes Screening,2025-12,42
2,Diabetes Screening,2025-11,55
2,Diabetes Screening,2025-10,50
2,Diabetes Screening,2025-09,60
2,Diabetes Screening,2025-08,45
3,Child Vaccination,2026-01,60
3,Child Vaccination,2025-12,41
3,Child Vaccination,2025-11,40
3,Child Vaccination,2025-10,54
3,Child Vaccination,2025-09,48
3,Child Vaccination,2025-08,46
3,TB Screening,2026-01,59
3,TB Screening,2025-12,72
3,TB Screening,2025-11,59
3,TB Screening,2025-10,69
3,TB Screening,2025-09,56
3,TB Screening,2025-08,58
3,Diabetes Screening,2026-01,62
3,Diabetes Screening,2025-12,69
3,Diabetes Screening,2025-11,62
3,Diabetes Screening,2025-10,61
3,Diabetes Screening,2025-09,62
3,Diabetes Screening,2025-08,64
4,Child Vaccination,2026-01,42
4,Child Vaccination,2025-12,43
4,Child Vaccination,2025-11,59
4,Child Vaccination,2025-10,48
4,Child Vaccination,2025-09,53
4,Child Vaccination,2025-08,42
4,TB Screening,2026-01,68
4,TB Screening,2025-12,74
4,TB Screening,2025-11,64
4,TB Screening,2025-10,58
4,TB Screening,2025-09,58
4,TB Screening,2025-08,78
4,Diabetes Screening,2026-01,60
4,Diabetes Screening,2025-12,60
4,Diabetes Screening,2025-11,64
4,Diabetes Screening,2025-10,62
4,Diabetes Screening,2025-09,57
4,Diabetes Screening,2025-08,56
5,Child Vaccination,2026-01,58
5,Child Vaccination,2025-12,60
5,Child Vaccination,2025-11,51
5,Child Vaccination,2025-10,47
5,Child Vaccination,2025-09,44
5,Child Vaccination,2025-08,43
5,TB Screening,2026-01,48
5,TB Screening,2025-12,53
5,TB Screening,2025-11,55
5,TB Screening,2025-10,58
5,TB Screening,2025-09,55
5,TB Screening,2025-08,49
5,Diabetes Screening,2026-01,47
5,Diabetes Screening,2025-12,53
5,Diabetes Screening,2025-11,58
5,Diabetes Screening,2025-10,54
5,Diabetes Screening,2025-09,49
5,Diabetes Screening,2025-08,48
6,Child Vaccination,2026-01,72
6,Child Vaccination,2025-12,60
6,Child Vaccination,2025-11,67
6,Child Vaccination,2025-10,67
6,Child Vaccination,2025-09,64
6,Child Vaccination,2025-08,66
6,TB Screening,2026-01,53
6,TB Screening,2025-12,71
6,TB Screening,2025-11,69
6,TB Screening,2025-10,58
6,TB Screening,2025-09,56
6,TB Screening,2025-08,64
6,Diabetes Screening,2026-01,72
6,Diabetes Screening,2025-12,53
6,Diabetes Screening,2025-11,64
6,Diabetes Screening,2025-10,72
6,Diabetes Screening,2025-09,60
6,Diabetes Screening,2025-08,69
7,Child Vaccination,2026-01,50
7,Child Vaccination,2025-12,68
7,Child Vaccination,2025-11,50
7,Child Vaccination,2025-10,52
7,Child Vaccination,2025-09,69
7,Child Vaccination,2025-08,49
7,TB Screening,2026-01,34
7,TB Screening,2025-12,44
7,TB Screening,2025-11,45
7,TB Screening,2025-10,43
7,TB Screening,2025-09,34
7,TB Screening,2025-08,48
7,Diabetes Screening,2026-01,53
7,Diabetes Screening,2025-12,42
7,Diabetes Screening,2025-11,44
7,Diabetes Screening,2025-10,58
7,Diabetes Screening,2025-09,38
7,Diabetes Screening,2025-08,47
8,Child Vaccination,2026-01,46
8,Child Vaccination,2025-12,59
8,Child Vaccination,2025-11,51
8,Child Vaccination,2025-10,62
8,Child Vaccination,2025-09,62
8,Child Vaccination,2025-08,47
8,TB Screening,2026-01,46
8,TB Screening,2025-12,59
8,TB Screening,2025-11,62
8,TB Screening,2025-10,46
8,TB Screening,2025-09,52
8,TB Screening,2025-08,46
8,Diabetes Screening,2026-01,58
8,Diabetes Screening,2025-12,70
8,Diabetes Screening,2025-11,61
8,Diabetes Screening,2025-10,74
8,Diabetes Screening,2025-09,61
8,Diabetes Screening,2025-08,63
9,Child Vaccination,2026-01,72
9,Child Vaccination,2025-12,62
9,Child Vaccination,2025-11,67
9,Child Vaccination,2025-10,69
9,Child Vaccination,2025-09,65
9,Child Vaccination,2025-08,61
9,TB Screening,2026-01,48
9,TB Screening,2025-12,46
9,TB Screening,2025-11,37
9,TB Screening,2025-10,46
9,TB Screening,2025-09,41
9,TB Screening,2025-08,38
9,Diabetes Screening,2026-01,30
9,Diabetes Screening,2025-12,32
9,Diabetes Screening,2025-11,33
9,Diabetes Screening,2025-10,48
9,Diabetes Screening,2025-09,45
9,Diabetes Screening,2025-08,34
10,Child Vaccination,2026-01,62
10,Child Vaccination,2025-12,76
10,Child Vaccination,2025-11,62
10,Child Vaccination,2025-10,63
10,Child Vaccination,2025-09,68
10,Child Vaccination,2025-08,80
10,TB Screening,2026-01,51
10,TB Screening,2025-12,46
10,TB Screening,2025-11,45
10,TB Screening,2025-10,51
10,TB Screening,2025-09,38
10,TB Screening,2025-08,40
10,Diabetes Screening,2026-01,61
10,Diabetes Screening,2025-12,57
10,Diabetes Screening,2025-11,65
10,Diabetes Screening,2025-10,67
10,Diabetes Screening,2025-09,66
10,Diabetes Screening,2025-08,69
11,Child Vaccination,2026-01,56
11,Child Vaccination,2025-12,56
11,Child Vaccination,2025-11,54
11,Child Vaccination,2025-10,53
11,Child Vaccination,2025-09,57
11,Child Vaccination,2025-08,73
11,TB Screening,2026-01,45
11,TB Screening,2025-12,46
11,TB Screening,2025-11,49
11,TB Screening,2025-10,54
11,TB Screening,2025-09,43
11,TB Screening,2025-08,37
11,Diabetes Screening,2026-01,51
11,Diabetes Screening,2025-12,46
11,Diabetes Screening,2025-11,44
11,Diabetes Screening,2025-10,53
11,Diabetes Screening,2025-09,53
11,Diabetes Screening,2025-08,55
12,Child Vaccination,2026-01,50
12,Child Vaccination,2025-12,53
12,Child Vaccination,2025-11,51
12,Child Vaccination,2025-10,58
12,Child Vaccination,2025-09,43
12,Child Vaccination,2025-08,41
12,TB Screening,2026-01,35
12,TB Screening,2025-12,39
12,TB Screening,2025-11,37
12,TB Screening,2025-10,47
12,TB Screening,2025-09,52
12,TB Screening,2025-08,49
12,Diabetes Screening,2026-01,73
12,Diabetes Screening,2025-12,69
