country,state,district,block,area_name,area_type,latitude,longitude,population,scheme_name,scheme_type,min_age,max_age,eligible_population,covered_population,missed_population,coverage_percent_calc,gap_percent,gap_category,priority_score,priority_rank,risk_level,trend_direction,risk_index
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-1,Ward,11.0059,84.831,4812,Child Vaccination,Vaccine,0,5,2563,2165,398,84.47132266874756,15.528677331252439,Low,10.990887589069777,512.0,Low,Decreasing,7.88515212281929
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-1,Ward,11.0059,84.831,4812,TB Screening,Screening,18,80,1925,1266,659,65.76623376623377,34.23376623376623,Medium,24.08444982082943,280.0,Medium,Decreasing,17.237696574076185
India,Uttar Pradesh,Prayagraj,Block-2,Prayagraj-Area-1,Ward,11.0059,84.831,4812,Diabetes Screening,Screening,30,80,1915,1645,270,85.90078328981723,14.099216710182768,Low,9.990265154321008,526.0,Low,Increasing,7.170421812284454
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-2,Village,11.7675,72.0499,9735,Child Vaccination,Vaccine,0,5,2668,1606,1062,60.194902548725636,39.805097451274364,Medium,28.107981974365565,221.0,Medium,Increasing,20.146962484110695
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-2,Village,11.7675,72.0499,9735,TB Screening,Screening,18,80,2550,2348,202,92.07843137254902,7.92156862745098,Low,5.789511797689197,591.0,Low,Increasing,4.2051980721990025
India,Uttar Pradesh,Prayagraj,Block-3,Prayagraj-Area-2,Village,11.7675,72.0499,9735,Diabetes Screening,Screening,30,80,3695,3478,217,94.12719891745603,5.872801082543979,Low,4.355374516254297,617.0,Low,Stable,3.180814299745502
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-3,Village,23.9433,70.6357,2335,Child Vaccination,Vaccine,0,5,809,529,280,65.389369592089,34.610630407911,Medium,24.28606543818646,274.0,Medium,Increasing,17.36393935660426
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-3,Village,23.9433,70.6357,2335,TB Screening,Screening,18,80,759,421,338,55.467720685111985,44.532279314888015,High,31.231219673070367,158.0,High,Increasing,22.324763810092765
India,Uttar Pradesh,Prayagraj,Block-4,Prayagraj-Area-3,Village,23.9433,70.6357,2335,Diabetes Screening,Screening,30,80,647,394,253,60.89644513137558,39.10355486862442,Medium,27.43111256068585,232.0,Medium,Decreasing,19.61040158696097
India,Uttar Pradesh,Prayagraj,Block-5,Prayagraj-Area-4,Village,14.2818,82.0404,9995,Child Vaccination,Vaccine,0,5,5383,3714,1669,68.99498420954858,31.005015790451424,Medium,21.954452554696864,320.0,Medium,Stable,15.75344939660658
